zipcode,state,income,latitude,longitude,
00501,NY,0,40.81,-73.04,
00544,NY,0,40.81,-73.04,
01001,MA,91129,42.06,-72.61,
01002,MA,147482,42.37,-72.52,
01003,MA,0,42.39,-72.52,
01004,MA,0,42.37,-72.52,
01005,MA,24883,42.42,-72.1,
01007,MA,103396,42.27,-72.4,
01008,MA,7667,42.18,-72.93,
01009,MA,0,42.2,-72.34,
01010,MA,24915,42.11,-72.2,
01011,MA,5853,42.28,-72.98,
01012,MA,4316,42.4,-72.85,
01013,MA,79013,42.15,-72.6,
01014,MA,0,42.17,-72.57,
01020,MA,128543,42.17,-72.57,
01021,MA,0,42.17,-72.57,
01022,MA,9070,42.2,-72.54,
01026,MA,5097,42.46,-72.9,
01027,MA,105590,42.26,-72.68,
01028,MA,129755,42.06,-72.51,
01029,MA,0,42.17,-73.03,
01030,MA,68409,42.06,-72.67,
01031,MA,4468,42.33,-72.2,
01032,MA,2498,42.46,-72.81,
01033,MA,39338,42.26,-72.52,
01034,MA,12322,42.06,-72.86,
01035,MA,36097,42.35,-72.58,
01036,MA,38625,42.06,-72.41,
01037,MA,0,42.35,-72.2,
01038,MA,18606,42.37,-72.6,
01039,MA,11083,42.39,-72.7,
01040,MA,131177,42.21,-72.64,
01041,MA,0,42.21,-72.64,
01050,MA,12978,42.23,-72.88,
01053,MA,11836,42.35,-72.71,
01054,MA,16023,42.45,-72.5,
01056,MA,115904,42.16,-72.48,
01057,MA,50505,42.09,-72.31,
01059,MA,0,42.4,-72.52,
01060,MA,102735,42.32,-72.63,
01061,MA,0,42.32,-72.67,
01062,MA,83229,42.32,-72.67,
01063,MA,0,42.32,-72.64,
01066,MA,0,42.41,-72.66,
01068,MA,12012,42.35,-72.05,
01069,MA,45510,42.16,-72.32,
01070,MA,3039,42.51,-72.91,
01071,MA,8377,42.18,-72.85,
01072,MA,9721,42.45,-72.4,
01073,MA,47352,42.23,-72.73,
01074,MA,0,42.39,-72.09,
01075,MA,107068,42.26,-72.56,
01077,MA,66040,42.05,-72.76,
01079,MA,0,42.2,-72.33,
01080,MA,8946,42.18,-72.37,
01081,MA,8097,42.06,-72.21,
01082,MA,46542,42.25,-72.24,
01083,MA,0,42.21,-72.19,
01084,MA,0,42.39,-72.88,
01085,MA,212444,42.13,-72.75,
01086,MA,0,42.13,-72.79,
01088,MA,3453,42.39,-72.64,
01089,MA,143418,42.12,-72.65,
01090,MA,0,42.12,-72.65,
01092,MA,0,42.19,-72.24,
01093,MA,0,42.44,-72.65,
01094,MA,0,42.35,-72.14,
01095,MA,133898,42.13,-72.43,
01096,MA,16411,42.4,-72.76,
01097,MA,0,42.18,-72.83,
01098,MA,6990,42.41,-72.93,
01101,MA,0,42.11,-72.53,
01102,MA,0,42.11,-72.53,
01103,MA,7500,42.1,-72.59,
01104,MA,64690,42.13,-72.57,
01105,MA,17273,42.1,-72.58,
01106,MA,215209,42.04,-72.57,
01107,MA,22891,42.12,-72.61,
01108,MA,73942,42.08,-72.56,
01109,MA,66323,42.11,-72.53,
01111,MA,0,42.11,-72.53,
01115,MA,0,42.11,-72.53,
01116,MA,0,42.04,-72.57,
01118,MA,66293,42.09,-72.53,
01119,MA,46384,42.12,-72.51,
01128,MA,14775,42.09,-72.49,
01129,MA,32342,42.12,-72.49,
01138,MA,0,42.11,-72.53,
01139,MA,0,42.11,-72.53,
01144,MA,0,42.11,-72.53,
01151,MA,24538,42.15,-72.51,
01152,MA,0,42.11,-72.53,
01199,MA,0,42.12,-72.6,
01201,MA,213668,42.45,-73.26,
01202,MA,0,42.45,-73.26,
01203,MA,0,42.45,-73.26,
01220,MA,34513,42.62,-73.11,
01222,MA,3502,42.05,-73.33,
01223,MA,14036,42.33,-73.07,
01224,MA,0,42.51,-73.2,
01225,MA,17793,42.55,-73.15,
01226,MA,39534,42.47,-73.16,
01227,MA,0,42.47,-73.16,
01229,MA,0,42.28,-73.34,
01230,MA,56611,42.19,-73.35,
01235,MA,15700,42.42,-73.07,
01236,MA,8612,42.27,-73.38,
01237,MA,18403,42.51,-73.22,
01238,MA,33418,42.3,-73.25,
01240,MA,47681,42.35,-73.28,
01242,MA,0,42.33,-73.25,
01243,MA,0,42.35,-73.01,
01244,MA,0,42.12,-73.26,
01245,MA,5794,42.18,-73.21,
01247,MA,51885,42.68,-73.11,
01252,MA,0,42.17,-73.44,
01253,MA,4868,42.21,-73.11,
01254,MA,13225,42.37,-73.36,
01255,MA,3440,42.11,-73.13,
01256,MA,3424,42.56,-73.02,
01257,MA,18261,42.1,-73.34,
01258,MA,6820,42.11,-73.46,
01259,MA,2851,42.07,-73.23,
01260,MA,0,42.3,-73.34,
01262,MA,0,42.3,-73.32,
01263,MA,0,42.3,-73.32,
01264,MA,0,42.24,-73.19,
01266,MA,12908,42.31,-73.39,
01267,MA,55588,42.7,-73.2,
01270,MA,4570,42.51,-73.04,
01301,MA,75577,42.58,-72.59,
01302,MA,0,42.58,-72.59,
01330,MA,8703,42.53,-72.78,
01331,MA,54966,42.59,-72.23,
01337,MA,14832,42.66,-72.55,
01338,MA,1243,42.57,-72.82,
01339,MA,6851,42.63,-72.88,
01340,MA,8205,42.66,-72.68,
01341,MA,12614,42.51,-72.68,
01342,MA,9476,42.55,-72.6,
01343,MA,0,42.66,-72.98,
01344,MA,7018,42.6,-72.4,
01346,MA,1684,42.66,-72.83,
01347,MA,0,42.56,-72.52,
01349,MA,3394,42.56,-72.48,
01350,MA,0,42.72,-72.98,
01351,MA,13765,42.53,-72.53,
01354,MA,8399,42.62,-72.51,
01355,MA,4969,42.5,-72.33,
01360,MA,15846,42.7,-72.43,
01364,MA,28351,42.59,-72.3,
01366,MA,7749,42.48,-72.18,
01367,MA,2090,42.7,-72.9,
01368,MA,6234,42.68,-72.18,
01370,MA,21657,42.6,-72.74,
01373,MA,31629,42.47,-72.59,
01375,MA,19812,42.46,-72.58,
01376,MA,19231,42.59,-72.55,
01378,MA,3459,42.68,-72.33,
01379,MA,3356,42.55,-72.4,
01380,MA,0,42.58,-72.37,
01420,MA,153603,42.58,-71.81,
01430,MA,41724,42.63,-71.9,
01431,MA,19327,42.68,-71.81,
01432,MA,54171,42.56,-71.58,
01434,MA,3186,42.53,-71.61,
01436,MA,13094,42.6,-72.07,
01438,MA,0,42.56,-72.03,
01440,MA,83528,42.58,-71.98,
01441,MA,0,42.58,-71.98,
01450,MA,135062,42.6,-71.57,
01451,MA,81565,42.5,-71.58,
01452,MA,29816,42.48,-72.01,
01453,MA,224849,42.51,-71.77,
01460,MA,99149,42.53,-71.47,
01462,MA,82525,42.59,-71.72,
01463,MA,83977,42.66,-71.58,
01464,MA,40379,42.54,-71.65,
01467,MA,0,42.49,-71.61,
01468,MA,24659,42.55,-72.06,
01469,MA,45693,42.66,-71.7,
01470,MA,0,42.6,-71.57,
01471,MA,0,42.6,-71.57,
01472,MA,0,42.61,-71.62,
01473,MA,57911,42.55,-71.9,
01474,MA,13365,42.66,-71.74,
01475,MA,45489,42.68,-72.04,
01501,MA,107808,42.2,-71.83,
01503,MA,30479,42.38,-71.63,
01504,MA,54291,42.04,-71.53,
01505,MA,56668,42.35,-71.73,
01506,MA,18258,42.21,-72.1,
01507,MA,90299,42.13,-71.96,
01508,MA,0,42.13,-71.96,
01509,MA,0,42.13,-71.96,
01510,MA,80621,42.41,-71.68,
01515,MA,13349,42.22,-72.04,
01516,MA,60626,42.05,-71.73,
01518,MA,29100,42.12,-72.11,
01519,MA,69256,42.2,-71.68,
01520,MA,131900,42.35,-71.85,
01521,MA,15159,42.05,-72.15,
01522,MA,25956,42.38,-71.87,
01523,MA,59828,42.45,-71.66,
01524,MA,38681,42.25,-71.9,
01525,MA,0,42.11,-71.63,
01526,MA,0,42.12,-71.76,
01527,MA,87842,42.19,-71.76,
01529,MA,18448,42.03,-71.58,
01531,MA,6018,42.31,-72.13,
01532,MA,188941,42.31,-71.64,
01534,MA,44515,42.15,-71.65,
01535,MA,23750,42.27,-72.08,
01536,MA,63009,42.23,-71.69,
01537,MA,12673,42.16,-71.88,
01538,MA,0,42.05,-71.64,
01540,MA,64123,42.11,-71.87,
01541,MA,35279,42.45,-71.86,
01542,MA,13039,42.2,-71.9,
01543,MA,59353,42.36,-71.95,
01545,MA,387522,42.3,-71.71,
01546,MA,0,42.3,-71.71,
01550,MA,65246,42.08,-72.03,
01560,MA,34039,42.17,-71.68,
01561,MA,0,42.44,-71.69,
01562,MA,61857,42.24,-71.99,
01564,MA,69450,42.43,-71.75,
01566,MA,55677,42.09,-72.06,
01568,MA,76244,42.17,-71.61,
01569,MA,95333,42.08,-71.6,
01570,MA,86413,42.04,-71.87,
01571,MA,62033,42.05,-71.93,
01581,MA,210799,42.26,-71.61,
01583,MA,53576,42.36,-71.78,
01585,MA,27834,42.23,-72.14,
01586,MA,0,42.19,-71.76,
01588,MA,62131,42.11,-71.67,
01590,MA,87076,42.15,-71.76,
01601,MA,0,42.26,-71.8,
01602,MA,122013,42.27,-71.85,
01603,MA,70844,42.24,-71.84,
01604,MA,151790,42.25,-71.77,
01605,MA,96397,42.29,-71.79,
01606,MA,110491,42.32,-71.8,
01607,MA,32434,42.23,-71.79,
01608,MA,14723,42.26,-71.8,
01609,MA,122869,42.29,-71.83,
01610,MA,50173,42.25,-71.81,
01611,MA,10464,42.23,-71.87,
01612,MA,37358,42.31,-71.93,
01613,MA,0,42.26,-71.8,
01614,MA,0,42.26,-71.8,
01615,MA,0,42.26,-71.8,
01653,MA,0,42.26,-71.8,
01655,MA,0,42.26,-71.8,
01701,MA,303246,42.3,-71.43,
01702,MA,170236,42.28,-71.44,
01703,MA,0,42.3,-71.43,
01704,MA,0,42.3,-71.43,
01705,MA,0,42.3,-71.43,
01718,MA,5628,42.52,-71.43,
01719,MA,61453,42.5,-71.5,
01720,MA,284821,42.48,-71.46,
01721,MA,171755,42.25,-71.46,
01730,MA,199501,42.48,-71.26,
01731,MA,9306,42.46,-71.28,
01740,MA,78085,42.43,-71.6,
01741,MA,142380,42.53,-71.35,
01742,MA,467738,42.45,-71.35,
01745,MA,4233,42.29,-71.5,
01746,MA,157877,42.2,-71.43,
01747,MA,45433,42.12,-71.54,
01748,MA,272545,42.22,-71.52,
01749,MA,144676,42.39,-71.56,
01752,MA,262795,42.34,-71.54,
01754,MA,80659,42.42,-71.45,
01756,MA,60937,42.1,-71.55,
01757,MA,177040,42.14,-71.51,
01760,MA,403219,42.28,-71.35,
01770,MA,147184,42.23,-71.36,
01772,MA,206882,42.3,-71.51,
01773,MA,186056,42.41,-71.3,
01775,MA,89905,42.43,-71.5,
01776,MA,397303,42.36,-71.4,
01778,MA,344909,42.36,-71.36,
01784,MA,0,42.23,-71.55,
01801,MA,303728,42.48,-71.15,
01803,MA,246818,42.5,-71.2,
01805,MA,0,42.5,-71.2,
01810,MA,569156,42.65,-71.14,
01812,MA,0,42.65,-71.14,
01813,MA,0,42.48,-71.15,
01815,MA,0,42.48,-71.15,
01821,MA,227649,42.55,-71.26,
01822,MA,0,42.55,-71.26,
01824,MA,270248,42.59,-71.36,
01826,MA,205267,42.68,-71.3,
01827,MA,37031,42.66,-71.48,
01830,MA,132677,42.78,-71.08,
01831,MA,0,42.78,-71.08,
01832,MA,122716,42.79,-71.13,
01833,MA,79308,42.73,-70.98,
01834,MA,51959,42.75,-71.03,
01835,MA,91769,42.75,-71.09,
01840,MA,14371,42.71,-71.16,
01841,MA,132151,42.71,-71.16,
01842,MA,0,42.7,-71.16,
01843,MA,92549,42.7,-71.16,
01844,MA,291954,42.74,-71.18,
01845,MA,332483,42.7,-71.11,
01850,MA,56531,42.66,-71.3,
01851,MA,131469,42.63,-71.32,
01852,MA,160916,42.63,-71.3,
01853,MA,0,42.63,-71.32,
01854,MA,91801,42.65,-71.35,
01860,MA,48797,42.83,-71,
01862,MA,78699,42.58,-71.3,
