zipcode,state,income,cbsa_income,state_income,latitude,longitude
00501,NY,1000000,104755,92731,40.81,-73.04
00544,NY,1000000,null,92731,40.81,-73.04
00601,PR,16283,22541,26745,18.16,-66.72
00602,PR,23199,21867,26745,18.38,-67.18
00603,PR,21537,21867,26745,18.43,-67.15
00604,PR,0,21867,26745,18.43,-67.15
00605,PR,0,21867,26745,18.43,-67.15
00606,PR,21044,null,26745,18.18,-66.98
00610,PR,25097,21867,26745,18.28,-67.14
00611,PR,21140,21867,26745,18.28,-66.79
00612,PR,25854,29711,26745,18.45,-66.73
00613,PR,0,24437,26745,18.45,-66.73
00614,PR,0,24437,26745,18.45,-66.73
00616,PR,22409,24437,26745,18.42,-66.67
00617,PR,21470,29711,26745,18.45,-66.56
00622,PR,20227,21690,26745,17.99,-67.15
00623,PR,22603,22443,26745,18.08,-67.14
00624,PR,20461,22541,26745,18.06,-66.72
00627,PR,23400,24437,26745,18.48,-66.84
00631,PR,20882,21867,26745,18.19,-66.82
00636,PR,0,null,26745,18.15,-67.06
00637,PR,24405,21690,26745,18.08,-66.96
00638,PR,21182,29711,26745,18.33,-66.47
00641,PR,20425,22541,26745,18.27,-66.7
00646,PR,37828,29711,26745,18.47,-66.27
00647,PR,18322,21690,26745,17.96,-66.94
00650,PR,22204,29711,26745,18.36,-66.56
00652,PR,25525,24437,26745,18.45,-66.6
00653,PR,12009,21146,26745,17.99,-66.89
00656,PR,22112,21146,26745,18.02,-66.79
00659,PR,26904,24437,26745,18.48,-66.82
00660,PR,24817,22443,26745,18.14,-67.12
00662,PR,21403,24437,26745,18.5,-67.02
00664,PR,18743,18863,26745,18.22,-66.59
00667,PR,17689,21690,26745,18.04,-67.06
00669,PR,19302,21867,26745,18.29,-66.88
00670,PR,23217,22443,26745,18.27,-67.06
00674,PR,24008,29711,26745,18.43,-66.48
00676,PR,21892,21867,26745,18.39,-67.11
00677,PR,29198,21867,26745,18.34,-67.25
00678,PR,23336,24437,26745,18.47,-66.93
00680,PR,22002,22443,26745,18.2,-67.14
