st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
CA,21st Century Learning Institute,060429013779,Beaumont Unified,0604290,Beaumont,92223,Beaumont,92223,,336,137,242
AL,A C Moore PK,010135002667,Escambia County,0101350,Atmore,36502,Atmore,36502,Yes participating without using any Provision or the CEO,94,,
AZ,A J Mitchell Elementary School,040553000451,Nogales Unified District (4457),0405530,NOGALES,85621,NOGALES,85621,Yes under Community Eligibility Option (CEO),306,181,
AL,A M Windham Elementary School,010108001767,Daleville City,0101080,Daleville,36322,Daleville,36322,Yes under Community Eligibility Option (CEO),507,386,356
CA,A Place to Grow,062827013394,Ojai Unified,0628270,Ojai,93023,Ojai,93024,,,,
AZ,A+ Charter Schools,040099803681,A+ Charter Schools (1000166),0400998,Maricopa,85138,Maricopa,85138,No,306,,
AZ,A. C. E.,040463000999,Marana Unified District (4404),0404630,MARANA,85653,MARANA,85653,No,0,,
CA,A. E. Arnold Elementary,061044001166,Cypress Elementary,0610440,Cypress,90630,Cypress,90630,Yes participating without using any Provision or the CEO,595,173,299
CA,A. G. Cook Elementary,061488001834,Garden Grove Unified,0614880,Garden Grove,92844,Garden Grove,92844,Yes under Community Eligibility Option (CEO),355,122,238
CA,A. H. Morgan Elementary,063237004995,Rialto Unified,0632370,Rialto,92376,Rialto,92376,Yes under Community Eligibility Option (CEO),466,265,388
CA,A. J. Dorsa Elementary,060231000103,Alum Rock Union Elementary,0602310,San Jose,95122,San Jose,95122,Yes under Community Eligibility Option (CEO),286,144,249
CA,A. L. Conner Elementary,061970010780,Kings Canyon Joint Unified,0619700,Orange Cove,93646,Orange Cove,93646,Yes under Community Eligibility Option (CEO),331,268,326
CA,A. M. Thomas Middle,062295007772,Lost Hills Union Elementary,0622950,Lost Hills,93249,Lost Hills,93249,,78,41,55
CA,A. M. Winn Waldorf-Inspired,063384005217,Sacramento City Unified,0633840,Sacramento,95827,Sacramento,95827,Yes under Community Eligibility Option (CEO),389,167,247
AZ,AAEC - Paradise Valley,040010601892,Arizona Agribusiness & Equine Center Inc. (4331),0400106,PHOENIX,85050,PHOENIX,85050,No,300,,
AZ,AAEC - SMCC Campus,040041701588,Arizona Agribusiness & Equine Center Inc. (85816),0400417,PHOENIX,85042,PHOENIX,85012,Yes participating without using any Provision or the CEO,469,253,
AZ,AAEC Online,040096903751,Arizona Agribusiness & Equine Center INC. (134379),0400969,Mesa,85202,PHOENIX,85012,No,63,,
AZ,AAEC Show Low,040083803832,Arizona Agribusiness & Equine Center Inc. (91131),0400838,SHOW LOW,85901,PHOENIX,85012,No,0,,
AL,Abbeville Elementary School,010174000602,Henry County,0101740,Abbeville,36310,Abbeville,36310,Yes under Community Eligibility Option (CEO),374,293,309
AL,Abbeville High School,010174000600,Henry County,0101740,Abbeville,36310,Abbeville,36310,Yes under Community Eligibility Option (CEO),291,248,256
CA,Abbott Middle,063492005896,San Mateo-Foster City,0634920,San Mateo,94403,San Mateo,94403,Yes under Provision 2,698,247,399
CA,Abby Reinke Elementary,060002808271,Temecula Valley Unified,0600028,Temecula,92592,Temecula,92592,Yes participating without using any Provision or the CEO,601,106,188
AL,ABC Elementary,010351001342,Wilcox County,0103510,Alberta,36720,Alberta,36720,Yes under Community Eligibility Option (CEO),107,89,91
CA,ABC Secondary (Alternative),060162010232,ABC Unified,0601620,Cerritos,90703,Cerritos,90703,,29,16,24
CA,ABC Virtual Academy,060162014664,ABC Unified,0601620,Cerritos,90703,Cerritos,90703,,67,30,49
AZ,Abia Judd Elementary School,040673001433,Prescott Unified District (4466),0406730,PRESCOTT,86305,PRESCOTT,86305,Yes participating without using any Provision or the CEO,490,126,
CA,ABLE Charter,060162813064,ABLE Charter District,0601628,Stockton,95207,Stockton,95207,,1191,614,894
CA,Abraham Lincoln,062985004650,Paramount Unified,0629850,Paramount,90723,Paramount,90723,Yes under Community Eligibility Option (CEO),509,247,473
CA,Abraham Lincoln Alternative,063762002045,Southern Kern Unified,0637620,Rosamond,93560,Rosamond,93560,,95,53,73
CA,Abraham Lincoln Continuation,063315005148,Riverside Unified,0633150,Riverside,92507,Riverside,92507,Yes under Community Eligibility Option (CEO),171,101,108
CA,Abraham Lincoln Elementary,061111001230,Desert Sands Unified,0611110,Palm Desert,92260,Palm Desert,92260,Yes under Community Eligibility Option (CEO),593,316,497
CA,Abraham Lincoln Elementary,063384005218,Sacramento City Unified,0633840,Sacramento,95827,Sacramento,95827,Yes under Community Eligibility Option (CEO),511,323,442
CA,Abraham Lincoln Elementary,060939000951,Colton Joint Unified,0609390,Colton,92324,Colton,92324,Yes under Community Eligibility Option (CEO),613,374,551
CA,Abraham Lincoln Elementary,062724000755,Newport-Mesa Unified,0627240,Corona Del Mar,92625,Costa Mesa,92626,Yes participating without using any Provision or the CEO,294,57,91
CA,Abraham Lincoln Elementary,061029001139,Cupertino Union,0610290,Cupertino,95014,Cupertino,95014,Yes participating without using any Provision or the CEO,663,34,94
CA,Abraham Lincoln Elementary,063531005993,Santa Ana Unified,0635310,Santa Ana,92704,Santa Ana,92704,Yes under Community Eligibility Option (CEO),505,309,389
CA,Abraham Lincoln Elementary,063581006125,Santa Rosa Elementary,0635810,Santa Rosa,95401,Santa Rosa,95401,Yes under Community Eligibility Option (CEO),281,132,186
CA,Abraham Lincoln Elementary,061524001937,Glendale Unified,0615240,La Crescenta,91214,La Crescenta,91214,Yes participating without using any Provision or the CEO,508,78,125
