st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
FL,130-E-SE-2,120144010794,ORANGE,1201440,ORLANDO,32801,ORLANDO,32801,,,,
CO,27J Online Academy,080258006836,School District 27J,0802580,BRIGHTON,80601,BRIGHTON,80601,No,271,,
FL,34-M-W-7  (34-M-N-7),120144009033,ORANGE,1201440,ORLANDO,32801,ORLANDO,32801,No,0,,
CO,5280 High School,080336006756,School District No. 1 in the county of Denver and State of C,0803360,DENVER,80223,DENVER,80223,Yes under Community Eligibility Option (CEO),92,,37
CO,70 Online,080615006496,Pueblo County School District 70,0806150,PUEBLO,81001,PUEBLO,81001,No,197,,
CT,A. Baldwin Middle School,090180000328,Guilford School District,0901800,Guilford,06437,Guilford,06437,Yes participating without using any Provision or the CEO,483,,53
FL,A. CRAWFORD MOSLEY HIGH SCHOOL,120009000067,BAY,1200090,LYNN HAVEN,32444,LYNN HAVEN,32444,Yes participating without using any Provision or the CEO,1838,538,634
FL,A. GARY WALSINGHAM ACADEMY,120009008970,BAY,1200090,PANAMA CITY BEACH,32407,PANAMA CITY BEACH,32407,Yes participating without using any Provision or the CEO,423,164,223
CT,A. I. Prince Technical High School,090000201136,Connecticut Technical Education and Career System,0900002,Hartford,06106,Hartford,06106,Yes under Community Eligibility Option (CEO),718,,494
FL,A. K. SUTER ELEMENTARY SCHOOL,120051000811,ESCAMBIA,1200510,PENSACOLA,32503,PENSACOLA,32503,Yes participating without using any Provision or the CEO,538,215,264
FL,A. L. MEBANE MIDDLE SCHOOL,120003000018,ALACHUA,1200030,ALACHUA,32615,ALACHUA,32615,Yes under Community Eligibility Option (CEO),379,206,226
FL,A. PHILIP RANDOLPH ACADEMIES,120048000773,DUVAL,1200480,JACKSONVILLE,32209,JACKSONVILLE,32209,Yes under Community Eligibility Option (CEO),341,240,240
CT,A. W. Cox School,090180000329,Guilford School District,0901800,Guilford,06437,Guilford,06437,Yes participating without using any Provision or the CEO,260,,44
CT,A. Ward Spaulding School,090447000903,Suffield School District,0904470,Suffield,06078,Suffield,06078,Yes participating without using any Provision or the CEO,461,,75
CT,A.B. Skane Center,090045000085,Bridgeport School District,0900450,Bridgeport,06606,Bridgeport,06606,Yes under Community Eligibility Option (CEO),190,,166
FL,A.D. HENDERSON UNIVERSITY SCHOOL & FAU HIGH SCHOOL,120201203140,FAU LAB SCH,1202012,BOCA RATON,33431,BOCA RATON,33431,Yes participating without using any Provision or the CEO,1333,213,297
FL,A.QUINN JONES CENTER,120003000004,ALACHUA,1200030,GAINESVILLE,32601,GAINESVILLE,32601,Yes under Community Eligibility Option (CEO),91,83,83
FL,ABESS PARK ELEMENTARY SCHOOL,120048003173,DUVAL,1200480,JACKSONVILLE,32225,JACKSONVILLE,32225,Yes under Community Eligibility Option (CEO),524,266,266
CO,Abraham Lincoln High School,080336000305,School District No. 1 in the county of Denver and State of C,0803360,DENVER,80219,DENVER,80219,Yes under Community Eligibility Option (CEO),992,,883
FL,ABRAHAM LINCOLN MIDDLE SCHOOL,120003000010,ALACHUA,1200030,GAINESVILLE,32641,GAINESVILLE,32641,Yes under Community Eligibility Option (CEO),697,341,351
CO,Abrams Elementary School,080408000560,Fountain School District No. 8 in the county of El Paso an,0804080,FORT CARSON,80902,FORT CARSON,80902,Yes participating without using any Provision or the CEO,403,,228
CO,Academia Ana Marie Sandoval,080336001750,School District No. 1 in the county of Denver and State of C,0803360,DENVER,80211,DENVER,80211,Yes participating without using any Provision or the CEO,385,,139
DE,Academia Antonia Alonso,100005300359,Academia Antonia Alonso,1000053,Newark,19702,Newark,19702,Yes under Community Eligibility Option (CEO),805,310,
FL,ACADEMIC SOLUTIONS ACADEMY A,120018008534,BROWARD,1200180,CORAL SPRINGS,33065,CORAL SPRINGS,33065,No,246,3,236
FL,ACADEMIC SOLUTIONS HIGH SCHOOL,120018008260,BROWARD,1200180,CORAL SPRINGS,33065,CORAL SPRINGS,33065,No,239,3,230
FL,ACADEMIE DA VINCI CHARTER SCHOOL,120156003255,PINELLAS,1201560,DUNEDIN,34698,DUNEDIN,34698,Yes participating without using any Provision or the CEO,331,100,118
FL,ACADEMIR CHARTER SCHOOL EAST AT DORAL,120039008693,MIAMI-DADE,1200390,DORAL,33178,DORAL,33178,Yes participating without using any Provision or the CEO,503,101,203
FL,ACADEMIR CHARTER SCHOOL EAST MIDDLE,120039010629,MIAMI-DADE,1200390,DORAL,33178,DORAL,33178,Yes participating without using any Provision or the CEO,77,14,32
FL,ACADEMIR CHARTER SCHOOL MIDDLE,120039008218,MIAMI-DADE,1200390,MIAMI,33183,MIAMI,33183,Yes participating without using any Provision or the CEO,292,64,228
FL,ACADEMIR CHARTER SCHOOL OF MATH AND SCIENCE,120039008748,MIAMI-DADE,1200390,HOMESTEAD,33030,HOMESTEAD,33030,Yes participating without using any Provision or the CEO,428,234,349
FL,ACADEMIR CHARTER SCHOOL PREPARATORY,120039008518,MIAMI-DADE,1200390,MIAMI,33177,MIAMI,33177,Yes participating without using any Provision or the CEO,1148,669,939
FL,ACADEMIR CHARTER SCHOOL WEST,120039007540,MIAMI-DADE,1200390,MIAMI,33185,MIAMI,33185,Yes participating without using any Provision or the CEO,725,245,372
FL,ACADEMIR MIDDLE SCHOOL OF MATH AND SCIENCE,120039010717,MIAMI-DADE,1200390,HOMESTEAD,33033,HOMESTEAD,33033,Yes participating without using any Provision or the CEO,149,83,114
FL,ACADEMIR PREPARATORY ACADEMY,120039008481,MIAMI-DADE,1200390,MIAMI,33183,MIAMI,33183,Yes participating without using any Provision or the CEO,386,99,312
FL,ACADEMIR PREPARATORY OF CHAMPIONSGATE,120147010796,OSCEOLA,1201470,MIAMI,33185,MIAMI,33185,No,117,3,3
CO,Academy 360,080336006592,School District No. 1 in the county of Denver and State of C,0803360,DENVER,80239,DENVER,80239,Yes under Community Eligibility Option (CEO),231,,169
FL,ACADEMY AT THE FARM,120153003913,PASCO,1201530,DADE CITY,33525,DADE CITY,33525,Yes under Community Eligibility Option (CEO),727,125,142
CO,Academy Charter School,080345000492,Douglas County School District No. Re 1,0803450,CASTLE ROCK,80104,CASTLE ROCK,80104,Yes participating without using any Provision or the CEO,582,,63
CO,Academy Endeavour Elementary School,080192001643,Academy School District No. 20 in the county of El Paso an,0801920,COLORADO SPRINGS,80920,COLORADO SPRINGS,80920,Yes participating without using any Provision or the CEO,356,,77
FL,ACADEMY FOR ADVANCED ACADEMICS,120039010743,MIAMI-DADE,1200390,MIAMI,33199,MIAMI,33199,Yes participating without using any Provision or the CEO,92,26,28
CO,Academy for Advanced and Creative Learning,080306006456,Colorado Springs School District No. 11 in the county of E,0803060,COLORADO SPRINGS,80907,COLORADO SPRINGS,80907,Yes participating without using any Provision or the CEO,280,,96
FL,ACADEMY FOR INNOVATIVE EDUCATION,120039008684,MIAMI-DADE,1200390,MIAMI SPRINGS,33166,MIAMI SPRINGS,33166,Yes under Community Eligibility Option (CEO),963,488,536
CO,Academy High School,080555001872,Mapleton School District No. 1 in the county of Adams & St,0805550,THORNTON,80229,THORNTON,80229,Yes participating without using any Provision or the CEO,415,,308
CO,Academy International Elementary School,080192001644,Academy School District No. 20 in the county of El Paso an,0801920,COLORADO SPRINGS,80920,COLORADO SPRINGS,80920,Yes participating without using any Provision or the CEO,398,,79
CO,Academy of Advanced Learning,080234006736,Aurora Joint District No. 28 of the counties of Adams and A,0802340,AURORA,80011,AURORA,80011,Yes under Community Eligibility Option (CEO),773,,648
CT,Academy of Aerospace and Engineering,090070001513,Capitol Region Education Council,0900700,Windsor,06095,Windsor,06095,Yes under Community Eligibility Option (CEO),775,,415
CT,Academy of Aerospace and Engineering Elementary,090070001629,Capitol Region Education Council,0900700,Rocky Hill,06067,Rocky Hill,06067,Yes under Community Eligibility Option (CEO),582,,270
CO,Academy of Arts and Knowledge Elementary,080002001998,State Charter School Institute,0800020,FT COLLINS,80525,FT COLLINS,80525,Yes participating without using any Provision or the CEO,195,,106
CO,Academy of Charter Schools,080002000727,State Charter School Institute,0800020,WESTMINSTER,80031,WESTMINSTER,80031,Yes participating without using any Provision or the CEO,1874,,648
CT,Academy of Computer Science and and Engineering Middle Schoo,090070001364,Capitol Region Education Council,0900700,East Hartford,06108,East Hartford,06108,Yes under Community Eligibility Option (CEO),607,,419
CT,Academy of Computer Science and Engineering,090070001532,Capitol Region Education Council,0900700,Enfield,06082,Enfield,06082,Yes under Community Eligibility Option (CEO),529,,370
DE,Academy Of Dover Charter School,100001700144,Academy of Dover Charter School,1000017,Dover,19904,Dover,19904,Yes under Community Eligibility Option (CEO),415,190,
FL,ACADEMY OF ENVIRONMENTAL SCIENCE,120027004326,CITRUS,1200270,CRYSTAL RIVER,34429,CRYSTAL RIVER,34429,Yes under Community Eligibility Option (CEO),115,41,41
CT,Academy of International Studies 6-12,090070000880,Capitol Region Education Council,0900700,Bloomfield,06002,Bloomfield,06002,Yes under Community Eligibility Option (CEO),688,,408
CT,Academy of International Studies Elementary School,090070001511,Capitol Region Education Council,0900700,South Windsor,06074,South Windsor,06074,Yes under Community Eligibility Option (CEO),486,,278
CO,Academy of Las Animas Online School,080525006678,Las Animas School District No. Re-1,0805250,PUEBLO,81004,PUEBLO,81004,No,512,,
CT,Academy of Science and Innovation,090070001592,Capitol Region Education Council,0900700,New Britain,06053,New Britain,06053,Yes under Community Eligibility Option (CEO),740,,435
FL,ACCELERATION ACADEMIES LLC,120039008647,MIAMI-DADE,1200390,CHICAGO,60607,CHICAGO,60607,No,0,,
FL,ACCELERATION ACADEMIES LLC HOMESTEAD,120039008738,MIAMI-DADE,1200390,CHICAGO,60607,CHICAGO,60607,No,178,17,18
FL,ACCELERATION ACADEMIES-CENTRAL MIAMI,120039008814,MIAMI-DADE,1200390,MIAMI,33055,MIAMI,33055,No,481,33,39
FL,ACCELERATION ACADEMY,120177008545,ST. LUCIE,1201770,PORT ST LUCIE,34984,PORT ST LUCIE,34984,Yes participating without using any Provision or the CEO,364,102,127
FL,ACCELERATION EAST,120144007736,ORANGE,1201440,ORLANDO,32822,ORLANDO,32822,Yes under Community Eligibility Option (CEO),235,144,151
FL,ACCELERATION WEST,120144008097,ORANGE,1201440,ORLANDO,32818,ORLANDO,32818,Yes under Community Eligibility Option (CEO),236,135,146
FL,ACCESS CHARTER,120144007952,ORANGE,1201440,ORLANDO,32807,ORLANDO,32807,No,128,,
FL,ACCESS TO EDUCATION,120123004377,MANATEE,1201230,BRADENTON,34203,BRADENTON,34203,Yes participating without using any Provision or the CEO,51,17,34
CT,ACES at Chase,090007001358,Area Cooperative Educational Services,0900070,Waterbury,06708,Waterbury,06708,Yes under Community Eligibility Option (CEO),567,,234
