st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
IN,21st Century Charter Sch of Gary,180004602162,21st Century Charter Sch of Gary,1800046,Gary,46402,Gary,46402,Yes under Community Eligibility Option (CEO),1213,1010,956
IL,21st Century Primary Center,173081003429,Park Forest SD 163,1730810,Park Forest,60466,Park Forest,60466,Yes under Community Eligibility Option (CEO),147,,120
ID,3B JUVENILE DETENTION CENTER,160153000605,IDAHO FALLS DISTRICT,1601530,IDAHO FALLS,83401,IDAHO FALLS,83401,No,4,,
GA,7 Pillars Career Academy,130123004364,Clayton County,1301230,Forest Park,30297,Forest Park,30297,Yes under Community Eligibility Option (CEO),271,196,196
ID,A B MCDONALD ELEMENTARY SCHOOL,160222000390,MOSCOW DISTRICT,1602220,MOSCOW,83843,MOSCOW,83843,Yes participating without using any Provision or the CEO,321,39,77
IL,A B Shepard High Sch (Campus),170654000339,CHSD 218,1706540,Palos Heights,60463,Palos Heights,60463,Yes under Community Eligibility Option (CEO),1960,,1215
IL,A F Ames Elem School,173399003491,Riverside SD 96,1733990,Riverside,60546,Riverside,60546,Yes participating without using any Provision or the CEO,471,,131
ID,A H BUSH ELEMENTARY SCHOOL,160153000252,IDAHO FALLS DISTRICT,1601530,IDAHO FALLS,83402,IDAHO FALLS,83402,Yes participating without using any Provision or the CEO,395,150,281
IL,A J Katzenmaier Academy,170011004814,North Chicago SD 187,1700110,North Chicago,60064,North Chicago,60064,Yes under Community Eligibility Option (CEO),320,,316
ID,A J WINTERS ELEMENTARY SCHOOL,160024000016,BEAR LAKE COUNTY DISTRICT,1600240,MONTPELIER,83254,MONTPELIER,83254,Yes participating without using any Provision or the CEO,286,32,134
IN,A K Smith Area Career Center,180657000433,Michigan City Area Schools,1806570,Michigan City,46360,Michigan City,46360,Yes under Community Eligibility Option (CEO),0,,
ID,A Neil DeAtley Career Technical Education Center,160186001119,LEWISTON INDEPENDENT DISTRICT,1601860,LEWISTON,83501,LEWISTON,83501,No,0,,
IL,A O Marshall Elem School,172058002323,Joliet PSD 86,1720580,Joliet,60432,Joliet,60432,Yes under Community Eligibility Option (CEO),235,,230
IL,A Vito Martinez Middle School,174007004037,Valley View CUSD 365U,1740070,Romeoville,60446,Romeoville,60446,Yes under Community Eligibility Option (CEO),610,,342
ID,A W JOHNSON ELEMENTARY SCHOOL,160108000196,FIRTH DISTRICT,1601080,FIRTH,83236,FIRTH,83236,Yes participating without using any Provision or the CEO,269,45,118
IL,A-C Central Elementary School,170010505359,A-C Central CUSD 262,1700105,Chandlerville,62627,Chandlerville,62627,Yes participating without using any Provision or the CEO,131,,63
IL,A-C Central High School,170010505357,A-C Central CUSD 262,1700105,Ashland,62612,Ashland,62612,Yes participating without using any Provision or the CEO,106,,41
IL,A-C Central Middle School,170010500245,A-C Central CUSD 262,1700105,Ashland,62612,Ashland,62612,Yes participating without using any Provision or the CEO,91,,43
IL,A.E.R.O. Therapeutic Center,170002406893,A E R O  Spec Educ Coop,1700024,Burbank,60459,Burbank,60459,Yes under Community Eligibility Option (CEO),,,
GA,A.L. Burruss Elementary School,130351001338,Marietta City,1303510,Marietta,30064,Marietta,30064,Yes participating without using any Provision or the CEO,388,73,213
IL,A.N.C.H.O.R. Academy,170651006780,Cook County SD 130,1706510,Blue Island,60406,Blue Island,60406,No,0,,
GA,Aaron Cohn Middle School,130387004127,Muscogee County,1303870,Midland,31820,Midland,31820,Yes participating without using any Provision or the CEO,549,92,243
GA,Aaron Cohn Regional Youth Detention Center,130002603806,Department of Juvenile Justice,1300026,Midland,31820,Midland,31820,Yes participating without using any Provision or the CEO,17,14,14
