st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
KS,500 Reach,200795002097,Kansas City,2007950,Kansas City,66612,Kansas City,66612,Yes participating without using any Provision or the CEO,188,,3
KY,A B Chandler Elementary School,210271000573,Henderson County,2102710,Corydon,42406,Corydon,42406,Yes under Community Eligibility Option (CEO),266,154,167
KY,A M Yealey Elementary School,210051000079,Boone County,2100510,Florence,41042,Florence,41042,Yes under Community Eligibility Option (CEO),576,222,247
LA,A. A. Nelson Elementary School,220033000255,Calcasieu Parish,2200330,Lake Charles,70605,Lake Charles,70605,Yes participating without using any Provision or the CEO,772,,419
LA,A. E. Phillips Laboratory School,220099000750,Lincoln Parish,2200990,Ruston,71272,Ruston,71272,Yes participating without using any Provision or the CEO,436,,47
LA,A.C. Alexander School,220084000578,Jefferson Parish,2200840,Kenner,70065,Kenner,70065,Yes under Community Eligibility Option (CEO),585,,331
LA,A.C. Steere Elementary School,220030000198,Caddo Parish,2200300,Shreveport,71105,Shreveport,71105,Yes participating without using any Provision or the CEO,435,,187
LA,Abbeville High School,220180001385,Vermilion Parish,2201800,Abbeville,70510,Abbeville,70510,Yes under Community Eligibility Option (CEO),597,,486
KS,Abe Hubert Elementary School,200639001170,Garden City,2006390,Garden City,67846,Garden City,67846,Yes participating without using any Provision or the CEO,307,,283
KS,Abilene Elem,201251000367,Valley Center Pub Sch,2012510,Valley Center,67147,Valley Center,67147,Yes participating without using any Provision or the CEO,252,,138
KS,Abilene High School,200318001063,Abilene,2003180,Abilene,67410,Abilene,67410,Yes participating without using any Provision or the CEO,449,,191
KS,Abilene Middle School,200318001062,Abilene,2003180,Abilene,67410,Abilene,67410,Yes participating without using any Provision or the CEO,331,,183
KS,Abilene Virtual School,200318002154,Abilene,2003180,Abilene,67410,Abilene,67410,No,17,,3
LA,Abita Springs Elementary School,220165001263,St. Tammany Parish,2201650,Abita Springs,70420,Abita Springs,70420,Yes under Community Eligibility Option (CEO),653,,368
LA,Abita Springs Middle School,220165001565,St. Tammany Parish,2201650,Abita Springs,70420,Abita Springs,70420,Yes under Community Eligibility Option (CEO),438,,209
LA,Abney Elementary Early Childhood Center,220165002317,St. Tammany Parish,2201650,Slidell,70458,Slidell,70458,Yes under Community Eligibility Option (CEO),319,,229
KY,Abraham Lincoln Elementary School,210318002044,LaRue County,2103180,Hodgenville,42748,Hodgenville,42748,Yes under Community Eligibility Option (CEO),470,246,276
IA,Abraham Lincoln High School,190822000409,Council Bluffs Comm School District,1908220,Council Bluffs,51503,Council Bluffs,51503,Yes under Community Eligibility Option (CEO),1358,,664
ME,Abraham Lincoln School,230282000046,Bangor Public Schools,2302820,Bangor,04401,Bangor,04401,Yes under Community Eligibility Option (CEO),176,51,86
LA,Abramson Sci Academy,220023702068,Sci Academy,2200237,New Orleans,70127,New Orleans,70127,Yes under Community Eligibility Option (CEO),665,,585
LA,Academic Recovery Ombudsman,220030002343,Caddo Parish,2200300,Shreveport,71101,Shreveport,71101,Yes participating without using any Provision or the CEO,285,,198
