st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
MA,1 LT Charles W. Whitcomb School,250732002639,Marlborough,2507320,Marlborough,01752,Marlborough,01752,Yes participating without using any Provision or the CEO,944,577,
MN,112 ALC Independent Study,270819004415,EASTERN CARVER COUNTY PUBLIC SCHOOL,2708190,CHASKA,55318,CHASKA,55318,No,34,6,8
MN,112 ALC MIDDLE SCHOOL,270819004622,EASTERN CARVER COUNTY PUBLIC SCHOOL,2708190,CHASKA,55318,CHASKA,55318,No,390,118,148
MN,112 ALC Seat-Based,270819005118,EASTERN CARVER COUNTY PUBLIC SCHOOL,2708190,CHASKA,55318,CHASKA,55318,No,0,,
MI,12th Street Elementary,262895007802,Portage Public Schools,2628950,PORTAGE,49024,PORTAGE,49024,Yes participating without using any Provision or the CEO,574,,175
MN,180 Degrees / Youth Shelter,273351012806,ST. CLOUD PUBLIC SCHOOL DISTRICT,2733510,SAINT CLOUD,56301,SAINT CLOUD,56301,No,0,,
MN,196Online Elementary,273239005353,ROSEMOUNT-APPLE VALLEY-EAGAN,2732390,ROSEMOUNT,55068,ROSEMOUNT,55068,No,0,,
MN,196Online High School,273239005352,ROSEMOUNT-APPLE VALLEY-EAGAN,2732390,ROSEMOUNT,55068,ROSEMOUNT,55068,No,111,35,48
MN,196Online Middle School,273239005351,ROSEMOUNT-APPLE VALLEY-EAGAN,2732390,ROSEMOUNT,55068,ROSEMOUNT,55068,No,0,,
MN,199 Online High School,271503005356,INVER GROVE HEIGHTS SCHOOLS,2715030,INVER GROVE HEIGHTS,55076,INVER GROVE HEIGHTS,55076,No,35,18,22
MN,270 - HAP - IS,270002504573,Intermediate School District 287,2700025,MINNETONKA,55305,MINNETONKA,55305,No,0,,
MN,270 HOPKINS ALTERNATIVE,270002502875,Intermediate School District 287,2700025,MINNETONKA,55305,MINNETONKA,55305,No,0,,
MN,270 HOPKINS NORTH JR HIGH ALC,270002503397,Intermediate School District 287,2700025,MINNETONKA,55305,MINNETONKA,55305,No,0,,
MN,270 HOPKINS WEST JR HIGH ALC,270002503396,Intermediate School District 287,2700025,MINNETONKA,55305,MINNETONKA,55305,No,0,,
MN,277 WESTONKA AREA LEARNING ACADEMY,270002503554,Intermediate School District 287,2700025,MINNETRISTA,55364,MINNETRISTA,55364,No,0,,
MN,279 Excel,272520012756,OSSEO PUBLIC SCHOOL DISTRICT,2725200,MAPLE GROVE,55369,MAPLE GROVE,55369,No,0,,
