st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
NV,100 Academy of Engineering and Technology ES,320006000670,Clark County,3200060,N  Las Vegas,89032,N  Las Vegas,89032,Yes under Community Eligibility Option (CEO),168,125,168
NV,100 Academy of Engineering and Technology MS,320006000756,Clark County,3200060,N  Las Vegas,89032,N  Las Vegas,89032,Yes under Community Eligibility Option (CEO),71,55,71
NE,18+ PROGRAM,318009002335,EDUCATIONAL SERVICE UNIT 09,3180090,HASTINGS,68901,HASTINGS,68901,No,0,,
NE,1R ELEMENTARY,317458000209,NORTHWEST PUBLIC SCHOOLS,3174580,GRAND ISLAND,68803,GRAND ISLAND,68803,Yes participating without using any Provision or the CEO,196,,55
MT,227 Academy,300065501146,East Helena K-12,3000655,East Helena,59635,East Helena,59635,,,,
NE,3-YEAR-OLD PRESCHOOL,317718002379,SOUTHERN SCHOOL DISTRICT 1,3177180,BLUE SPRING,68318,BLUE SPRING,68318,No,0,,
MO,6TH GRADE CENTER,293144003207,WAYNESVILLE R-VI,2931440,Waynesville,65583,Waynesville,65583,Yes participating without using any Provision or the CEO,441,46,173
NH,A. Crosby Kennett Middle School,330249000043,Conway School District,3302490,Conway,03818,Conway,03818,Yes participating without using any Provision or the CEO,253,,91
MO,A. D. STOWELL ELEM.,291365000587,HANNIBAL 60,2913650,HANNIBAL,63401,HANNIBAL,63401,Yes participating without using any Provision or the CEO,230,51,125
NH,Abbot-Downing School,330246000054,Concord School District,3302460,Concord,03301,Concord,03301,Yes participating without using any Provision or the CEO,345,,97
MO,ABRAHAM MALLINSON ELEMENTARY,291548003210,INDEPENDENCE 30,2915480,SUGAR CREEK,64054,SUGAR CREEK,64054,Yes participating without using any Provision or the CEO,275,86,236
MT,Absarokee 6-8,300171001063,Absarokee Elem,3001710,Absarokee,59001,Absarokee,59001,Yes participating without using any Provision or the CEO,45,,15
MT,Absarokee High School,300174000002,Absarokee H S,3001740,Absarokee,59001,Absarokee,59001,Yes participating without using any Provision or the CEO,79,,20
MT,Absarokee School,300171000001,Absarokee Elem,3001710,Absarokee,59001,Absarokee,59001,Yes participating without using any Provision or the CEO,80,,28
NV,Abston Sandra B ES,320006000935,Clark County,3200060,Las Vegas,89147,Las Vegas,89147,Yes under Community Eligibility Option (CEO),715,413,715
MO,AC PREP ELEMENTARY,291640001718,KANSAS CITY 33,2916400,KANSAS CITY,64132,KANSAS CITY,64132,Yes under Community Eligibility Option (CEO),367,178,367
MO,ACAD OF ENTRE STDY@LOUVERTURE,292928003215,ST. LOUIS CITY,2929280,ST. LOUIS,63104,ST. LOUIS,63104,Yes under Community Eligibility Option (CEO),271,137,271
MO,ACADEMIE LAFAYETTE ARMOUR IHS,290001703394,ACADEMIE LAFAYETTE,2900017,KANSAS CITY,64113,KANSAS CITY,64113,Yes participating without using any Provision or the CEO,107,14,31
MO,Academie Lafayette Armour IMS,290001703331,ACADEMIE LAFAYETTE,2900017,KANSAS CITY,64111,KANSAS CITY,64111,Yes participating without using any Provision or the CEO,273,13,45
MO,ACADEMIE LAFAYETTE CHERRY ELEM,290001703259,ACADEMIE LAFAYETTE,2900017,KANSAS CITY,64109,KANSAS CITY,64109,Yes participating without using any Provision or the CEO,474,59,151
MO,Academie Lafayette Oak Elem,290001702753,ACADEMIE LAFAYETTE,2900017,Kansas City,64113,Kansas City,64113,Yes participating without using any Provision or the CEO,498,32,98
NV,Academy For Career Education,320048000562,Washoe County,3200480,RENO,89502,RENO,89502,No,249,,
MO,ACADEMY FOR INTEGRATED ARTS,290060403209,ACADEMY FOR INTEGRATED ARTS,2900604,Kansas City,64131,Kansas City,64131,Yes under Community Eligibility Option (CEO),270,130,270
NH,Academy for Science and Design Charter (H),330004000684,Academy for Science and Design Charter School,3300040,Nashua,03063,Nashua,03063,No,236,,5
NH,Academy for Science and Design Charter (M),330004000678,Academy for Science and Design Charter School,3300040,Nashua,03063,Nashua,03063,No,404,,6
NV,ACADEMY OF ARTS CAREERS & TECH,320048000664,Washoe County,3200480,RENO,89502,RENO,89502,Yes participating without using any Provision or the CEO,551,100,108
NV,Acceleration Academy,320006000950,Clark County,3200060,North Las Vegas,89032,Las Vegas,89110,Yes under Community Eligibility Option (CEO),1594,1043,1594
NE,ACCELERE PROGRAM,317482002255,OMAHA PUBLIC SCHOOLS,3174820,OMAHA,68131,OMAHA,68131,No,0,,
MO,ACKERMAN,292676001588,SPECL. SCH. DST. ST. LOUIS CO.,2926760,FLORISSANT,63033,FLORISSANT,63033,Yes participating without using any Provision or the CEO,134,77,131
NE,ACKERMAN ELEMENTARY SCHOOL,317374001834,MILLARD PUBLIC SCHOOLS,3173740,OMAHA,68135,OMAHA,68135,Yes participating without using any Provision or the CEO,487,,148
