st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
NM,21ST CENTURY PUBLIC ACADEMY,350018700811,21ST CENTURY PUBLIC ACADEMY,3500187,ALBUQUERQUE,87110,ALBUQUERQUE,87110,Yes under Community Eligibility Option (CEO),378,84,192
NY,30TH AVENUE SCHOOL (THE) (G & T CITYWIDE),360010206477,NEW YORK CITY GEOGRAPHIC DISTRICT #30,3600102,ASTORIA,11102,ASTORIA,11102,Yes under Community Eligibility Option (CEO),513,,142
NY,47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE),360007705767,NEW YORK CITY GEOGRAPHIC DISTRICT # 2,3600077,NEW YORK,10010,NEW YORK,10010,,177,,137
NJ,A A Anastasia Elementary School,340894003908,LONG BRANCH PUBLIC SCHOOL District,3408940,LONG BRANCH,07740,LONG BRANCH,07740,Yes participating without using any Provision or the CEO,588,,472
NY,A A GATES ELEMENTARY SCHOOL,362343003270,PORT BYRON CENTRAL SCHOOL DISTRICT,3623430,PORT BYRON,13140,PORT BYRON,13140,Yes under Community Eligibility Option (CEO),440,,191
NY,A A KINGSTON MIDDLE SCHOOL,362367003299,POTSDAM CENTRAL SCHOOL DISTRICT,3623670,POTSDAM,13676,POTSDAM,13676,Yes participating without using any Provision or the CEO,346,,118
NJ,A Chester Redshaw School,341122003456,New Brunswick School District,3411220,NEW BRUNSWICK,08901,NEW BRUNSWICK,08901,Yes under Community Eligibility Option (CEO),736,,445
NY,A D OLIVER MIDDLE SCHOOL,360558000286,BROCKPORT CENTRAL SCHOOL DISTRICT,3605580,BROCKPORT,14420,BROCKPORT,14420,Yes under Community Eligibility Option (CEO),738,,375
NY,A F PALMER ELEMENTARY SCHOOL / WINDSOR CENTRAL MIDDLE SCHOOL,360273000048,WINDSOR CENTRAL SCHOOL DISTRICT,3602730,WINDSOR,13865,WINDSOR,13865,Yes under Community Eligibility Option (CEO),535,,262
NC,A G Cox Middle,370001201488,Pitt County Schools,3700012,Winterville,28590,Winterville,28590,Yes participating without using any Provision or the CEO,870,,867
NC,A H Snipes Academy of Arts/Des,370333001392,New Hanover County Schools,3703330,Wilmington,28405,Wilmington,28405,Yes participating without using any Provision or the CEO,354,,351
NY,A J SCHMIDT ELEMENTARY SCHOOL,361656001462,EVANS-BRANT CENTRAL SCHOOL DISTRICT (LAKE SHORE),3616560,ANGOLA,14006,ANGOLA,14006,Yes under Community Eligibility Option (CEO),241,,135
NC,A L Brown High,370243001039,Kannapolis City Schools,3702430,Kannapolis,28083,Kannapolis,28083,Yes participating without using any Provision or the CEO,1776,,1773
NC,A L Stanback Middle,370348001441,Orange County Schools,3703480,Hillsborough,27278,Hillsborough,27278,Yes participating without using any Provision or the CEO,625,,365
NY,A M COSGROVE MIDDLE SCHOOL,362778003761,SPENCERPORT CENTRAL SCHOOL DISTRICT,3627780,SPENCERPORT,14559,SPENCERPORT,14559,Yes participating without using any Provision or the CEO,846,,307
NY,A MACARTHUR BARR MIDDLE SCHOOL,362019001853,NANUET UNION FREE SCHOOL DISTRICT,3620190,NANUET,10954,NANUET,10954,Yes participating without using any Provision or the CEO,654,,215
NY,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,360008304305,NEW YORK CITY GEOGRAPHIC DISTRICT # 6,3600083,NEW YORK,10031,NEW YORK,10031,,1387,,1256
NC,A T Allen Elementary,370053000208,Cabarrus County Schools,3700530,Concord,28025,Concord,28025,Yes participating without using any Provision or the CEO,650,,647
NC,A&T Four Middle College,370192002669,Guilford County Schools,3701920,Greensboro,27411,Greensboro,27411,Yes participating without using any Provision or the CEO,169,,97
NY,A-TECH HIGH SCHOOL,360011901913,NEW YORK CITY GEOGRAPHIC DISTRICT #14,3600119,BROOKLYN,11222,BROOKLYN,11222,,459,,398
NM,A. MONTOYA ELEMENTARY,350006000017,ALBUQUERQUE,3500060,TIJERAS,87059,TIJERAS,87059,Yes participating without using any Provision or the CEO,404,171,283
NJ,A. Russell Knight Elementary School,340300001422,Cherry Hill School District,3403000,CHERRY HILL,08034,CHERRY HILL,08034,Yes participating without using any Provision or the CEO,431,,40
NC,A.C.E. Academy,370037203324,A.C.E. Academy,3700372,Harrisburg,28075,Harrisburg,28075,Yes participating without using any Provision or the CEO,438,,431
NJ,A.E. Burling Elementary School,341287002927,Pennsauken Township Board of Education School District,3412870,PENNSAUKEN,08105,PENNSAUKEN,08105,,,,
NJ,A.E. Burling High School,341287003465,Pennsauken Township Board of Education School District,3412870,Pennsauken,08110,Pennsauken,08110,No,35,,12
