st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
PA,21st Century Cyber CS,420009100597,21st Century Cyber CS,4200091,West Chester,19380,West Chester,19380,No,1103,,57
RI,360 High School,440090000492,Providence,4400900,Providence,02905,Providence,02905,Yes under Community Eligibility Option (CEO),360,179,297
OH,3EA,390487306154,Northridge Local,3904873,Dayton,45414,Dayton,45414,No,2,,
OK,4TH AND 5TH GRADE CENTER,400957002918,DEER CREEK,4009570,Edmond,73012,Edmond,73012,Yes participating without using any Provision or the CEO,1239,267,316
OR,509J On-Line,410674001907,Jefferson County SD 509J,4106740,Madras,97741,Madras,97741,No,25,,
OK,6TH AND 7TH GRADE ACADEMY,402097000599,MUSKOGEE,4020970,Muskogee,74403,Muskogee,74403,Yes under Community Eligibility Option (CEO),544,415,498
PA,6th Grade Center,421989007631,Quakertown Community SD,4219890,Quakertown,18951,Quakertown,18951,Yes participating without using any Provision or the CEO,354,,124
OK,7TH AND 8TH GRADE ACADEMIC CTR,402487002915,POTEAU,4024870,Poteau,74953,Poteau,74953,Yes participating without using any Provision or the CEO,317,194,233
OK,8th and 9th Grade Academy,402097002930,MUSKOGEE,4020970,Muskogee,74403,Muskogee,74403,Yes under Community Eligibility Option (CEO),689,436,559
OR,A C Houghton Elementary School,410852000858,Morrow SD 1,4108520,Irrigon,97844,Irrigon,97844,Yes under Community Eligibility Option (CEO),223,108,167
OH,A J Jordak Elementary School,390471702692,Cardinal Local,3904717,Middlefield,44062,Middlefield,44062,Yes participating without using any Provision or the CEO,266,,122
PA,A J McMullen Sch,422415006933,Uniontown Area SD,4224150,Markleysburg,15459,Markleysburg,15459,Yes under Community Eligibility Option (CEO),162,,162
PA,A L Wilson El Sch,420210007575,Albert Gallatin Area SD,4202100,Fairchance,15436,Fairchance,15436,Yes under Community Eligibility Option (CEO),357,,357
PA,A W Beattie Career Center,428001007041,A W Beattie Career Center,4280010,Allison Park,15101,Allison Park,15101,No,5,,
OH,A+ Arts Academy,390030504842,A+ Arts Academy,3900305,Columbus,43205,Columbus,43205,Yes under Community Eligibility Option (CEO),366,174,
OH,A+ Children's Academy,390148005718,A+ Children's Academy,3901480,Columbus,43207,Columbus,43207,Yes under Community Eligibility Option (CEO),87,72,
OH,A. I. Root Middle School,390443800365,Medina City SD,3904438,Medina,44256,Medina,44256,Yes participating without using any Provision or the CEO,700,,128
OR,Abernethy Elementary School,411004000865,Portland SD 1J,4110040,Portland,97214,Portland,97214,Yes participating without using any Provision or the CEO,330,26,50
PA,Abington Heights HS,420201005091,Abington Heights SD,4202010,Clarks Summit,18411,Clarks Summit,18411,Yes participating without using any Provision or the CEO,1117,,14
PA,Abington Heights MS,420201006839,Abington Heights SD,4202010,Clarks Summit,18411,Clarks Summit,18411,Yes participating without using any Provision or the CEO,1079,,13
PA,Abington MS,420204003242,Abington SD,4202040,Abington,19001,Abington,19001,Yes participating without using any Provision or the CEO,2044,,690
PA,Abington SHS,420204003241,Abington SD,4202040,Abington,19001,Abington,19001,Yes participating without using any Provision or the CEO,2793,,944
OH,Abraham Depp Elementary,390470206054,Dublin City,3904702,Plain City,43064,Plain City,43064,Yes participating without using any Provision or the CEO,824,,33
PA,Abraham Lincoln El Sch,420351004802,Bethel Park SD,4203510,Pittsburgh,15234,Pittsburgh,15234,Yes participating without using any Provision or the CEO,353,,75
OR,Abraham Lincoln Elementary,410804000963,Medford SD 549C,4108040,Medford,97504,Medford,97504,Yes under Community Eligibility Option (CEO),415,125,270
