st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
TX,7TH H S - NORTHEAST,483808012373,ROUND ROCK ISD,4838080,ROUND ROCK,78681,ROUND ROCK,78681,,,,
TX,A & M CONS H S,480735000001,COLLEGE STATION ISD,4807350,COLLEGE STATION,77840,COLLEGE STATION,77840,Yes participating without using any Provision or the CEO,2160,,749
TX,A & M CONSOLIDATED MIDDLE,480735008712,COLLEGE STATION ISD,4807350,COLLEGE STATION,77840,COLLEGE STATION,77840,Yes participating without using any Provision or the CEO,695,,330
TX,A B DUNCAN COLLEGIATE EL,481944001801,FLOYDADA COLLEGIATE ISD,4819440,FLOYDADA,79235,FLOYDADA,79235,Yes under Community Eligibility Option (CEO),309,,236
TX,A B MCBAY EL,483042003424,MEXIA ISD,4830420,MEXIA,76667,MEXIA,76667,Yes under Community Eligibility Option (CEO),529,,461
TX,A C BLUNT MIDDLE,480858000225,ARANSAS PASS ISD,4808580,ARANSAS PASS,78336,ARANSAS PASS,78336,Yes under Community Eligibility Option (CEO),388,,252
TX,A C JONES H S,480972000442,BEEVILLE ISD,4809720,BEEVILLE,78102,BEEVILLE,78102,Yes under Community Eligibility Option (CEO),1021,,818
TX,A E BUTLER INT,483624004074,QUINLAN ISD,4836240,QUINLAN,75474,QUINLAN,75474,Yes participating without using any Provision or the CEO,665,,539
TX,A G ELDER EL,482493006126,JOSHUA ISD,4824930,JOSHUA,76058,JOSHUA,76058,Yes participating without using any Provision or the CEO,670,,398
TN,A H Roberts Elementary,470333001977,Overton County,4703330,Livingston,38570,Livingston,38570,Yes participating without using any Provision or the CEO,330,107,
TN,A L Lotts Elementary,470222000076,Knox County,4702220,Knoxville,37922,Knoxville,37922,Yes participating without using any Provision or the CEO,998,125,
TX,A LEAL JR MIDDLE,482247002251,HARLANDALE ISD,4822470,SAN ANTONIO,78211,SAN ANTONIO,78211,Yes under Community Eligibility Option (CEO),574,,533
TX,A M OCHOA EL,481739001496,DONNA ISD,4817390,DONNA,78537,DONNA,78537,Yes under Community Eligibility Option (CEO),603,,587
TX,A M PATE EL,481970001898,FORT WORTH ISD,4819700,FORT WORTH,76119,FORT WORTH,76119,Yes under Community Eligibility Option (CEO),315,,310
TX,A N RICO EL,484496007002,WESLACO ISD,4844960,WESLACO,78596,WESLACO,78596,Yes under Community Eligibility Option (CEO),819,,748
TX,A P BEUTEL EL,481119000580,BRAZOSPORT ISD,4811190,LAKE JACKSON,77566,FREEPORT,77541,Yes under Community Eligibility Option (CEO),604,,361
TX,A P SOLIS MIDDLE,481739017037,DONNA ISD,4817390,DONNA,78537,DONNA,78537,Yes under Community Eligibility Option (CEO),631,,586
TX,A V CATO EL,481317000815,CASTLEBERRY ISD,4813170,FORT WORTH,76114,FORT WORTH,76114,Yes under Community Eligibility Option (CEO),601,,552
TX,A+ ACADEMY EL,480020308758,A+ ACADEMY,4800203,DALLAS,75217,DALLAS,75217,Yes under Provision 2,897,,857
TX,A+ SECONDARY SCHOOL,480020313579,A+ ACADEMY,4800203,DALLAS,75217,DALLAS,75217,Yes under Provision 2,752,,748
TX,A+ UNLIMITED POTENTIAL - UNIVERSITY,480145313369,A+ UNLIMITED POTENTIAL,4801453,HOUSTON,77004,HOUSTON,77004,Yes participating without using any Provision or the CEO,150,,124
TN,A. B. Hill Elementary,470014801011,Memphis-Shelby County Schools,4700148,Memphis,38106,Memphis,38106,Yes under Community Eligibility Option (CEO),544,434,
SC,A. C. Corcoran Elementary,450144000199,Charleston 01,4501440,North Charleston,29406,North Charleston,29406,Yes under Community Eligibility Option (CEO),716,503,716
SC,A. C. Flora High,450336000952,Richland 01,4503360,Columbia,29204,Columbia,29204,Yes under Community Eligibility Option (CEO),1334,531,1334
SC,A. C. Moore Elementary,450336000926,Richland 01,4503360,Columbia,29205,Columbia,29205,Yes under Community Eligibility Option (CEO),224,94,224
SC,A. J. Lewis Greenview Elementary,450336000919,Richland 01,4503360,Columbia,29203,Columbia,29203,Yes under Community Eligibility Option (CEO),353,296,353
SC,A. L. Corbett Middle,450072001702,Aiken 01,4500720,Wagener,29164,Wagener,29164,Yes under Community Eligibility Option (CEO),203,154,203
TN,A. Maceo Walker Middle,470014801939,Memphis-Shelby County Schools,4700148,Memphis,38116,Memphis,38116,Yes under Community Eligibility Option (CEO),637,451,
SC,A. R. Rucker Middle,450258001260,Lancaster 01,4502580,Lancaster,29720,Lancaster,29720,Yes under Community Eligibility Option (CEO),513,368,513
TN,A. Z. Kelley Elementary,470318002116,Davidson County,4703180,Antioch,37013,Antioch,37013,Yes participating without using any Provision or the CEO,683,179,
SD,A.C.E. High Academy - 06,461695000307,Custer School District 16-1,4616950,Custer,57730,Custer,57730,No,19,3,3
SC,A.J. Whittenberg Elementary,450231001551,Greenville 01,4502310,Greenville,29601,Greenville,29601,Yes participating without using any Provision or the CEO,479,266,314
TX,AARON PARKER EL,483301003665,NORTH LAMAR ISD,4833010,POWDERLY,75473,PARIS,75460,Yes participating without using any Provision or the CEO,270,,200
TX,AB HARRISON INT,484653007224,WYLIE ISD,4846530,WYLIE,75098,WYLIE,75098,Yes participating without using any Provision or the CEO,1108,,348
TX,ABBETT EL,482034006706,GARLAND ISD,4820340,GARLAND,75044,GARLAND,75044,Yes under Community Eligibility Option (CEO),654,,349
SC,Abbeville City Career Center,450069001188,Abbeville 60,4500690,Abbeville,29620,Abbeville,29620,Yes participating without using any Provision or the CEO,0,,
SC,Abbeville High,450069000011,Abbeville 60,4500690,Abbeville,29620,Abbeville,29620,Yes participating without using any Provision or the CEO,427,245,284
SD,Abbott House Elementary - 06,464839001338,Mitchell School District 17-2,4648390,Mitchell,57301,Mitchell,57301,Yes participating without using any Provision or the CEO,8,,
SD,Abbott House High School - 07,464839001337,Mitchell School District 17-2,4648390,Mitchell,57301,Mitchell,57301,Yes participating without using any Provision or the CEO,30,,3
TX,ABBOTT SCHOOL,480738000006,ABBOTT ISD,4807380,ABBOTT,76621,ABBOTT,76621,Yes participating without using any Provision or the CEO,284,,88
TX,ABELL J H,483057005118,MIDLAND ISD,4830570,MIDLAND,79707,MIDLAND,79707,Yes participating without using any Provision or the CEO,1094,,548
TX,ABERNATHY DAEP,480741009626,ABERNATHY ISD,4807410,PLAINVIEW,79072,ABERNATHY,79311,Yes participating without using any Provision or the CEO,5,,
TX,ABERNATHY EL,480741000007,ABERNATHY ISD,4807410,ABERNATHY,79311,ABERNATHY,79311,Yes under Community Eligibility Option (CEO),412,,214
