st,sch_name,ncessch,lea_name,leaid,lcity,lzip,mcity,mzip,national_school_lunch_program,total_students,nslp_direct_certification,frl_eligible
WA,10th Street School,530486002475,Marysville School District,5304860,Marysville,98271,Marysville,98271,Yes under Community Eligibility Option (CEO),163,52,58
WI,21st Century Preparatory School,550004502575,Racine Charter One Inc,5500045,Racine,53404,Racine,53404,Yes under Community Eligibility Option (CEO),512,,39
WY,4-J Elementary School,560147000454,Campbell County School District #1,5601470,Gillette,82718,Gillette,82717,Yes participating without using any Provision or the CEO,36,3,5
WI,4K Center for Literacy,550747003029,Kimberly Area School District,5507470,Kimberly,54136,Kimberly,54136,No,290,,39
WI,4K Community-Based,551266002889,Reedsburg School District,5512660,Reedsburg,53959,Reedsburg,53959,No,40,,28
WI,4K McFarland,550891002902,McFarland School District,5508910,McFarland,53558,McFarland,53558,No,120,,13
WI,4K PK Off Site,550852002475,Madison Metropolitan School District,5508520,Madison,53703,Madison,53703,No,594,,29
WV,6-12 Summers County Comprehensive HS,540135001603,SUMMERS COUNTY SCHOOLS,5401350,Hinton,25951,Hinton,25951,Yes under Community Eligibility Option (CEO),669,435,
VA,6th Grade Academy at Arnett Hills,510111003138,Danville City Public Schools,5101110,Danville,24540,Danville,24540,,,,
WA,A G West Black Hills High School,530910002602,Tumwater School District,5309100,Tumwater,98512,Tumwater,98512,Yes participating without using any Provision or the CEO,792,226,262
WA,A J West Elementary,530003000001,Aberdeen School District,5300030,Aberdeen,98520,Aberdeen,98520,Yes under Community Eligibility Option (CEO),301,236,259
WA,A-3 Multiagency Adolescent Prog,530825002361,Spokane School District,5308250,Spokane,99205,Spokane,99205,Yes under Community Eligibility Option (CEO),23,15,19
VA,A. Henderson Elementary,510313002039,Prince William County Public Schools,5103130,Dumfries,22025,Dumfries,22025,Yes participating without using any Provision or the CEO,819,238,284
VA,A. Linwood Holton Governor's School,510003301933,A. Linwood Holton Governor's School,5100033,Abingdon,24210,Abingdon,24212,No,,,
WV,A. T. Allison Elementary School,540045001186,HANCOCK COUNTY SCHOOLS,5400450,Chester,26034,Chester,26034,Yes under Community Eligibility Option (CEO),257,131,
VA,A.G. Richardson Elementary,510105000374,Culpeper County Public Schools,5101050,Culpeper,22701,Culpeper,22701,Yes participating without using any Provision or the CEO,568,212,245
VA,A.M. Davis Elementary,510084000314,Chesterfield County Public Schools,5100840,North Chesterfield,23236,North Chesterfield,23236,Yes under Community Eligibility Option (CEO),737,563,563
VA,A.S. Rhodes Elementary,510387001729,Warren County Public Schools,5103870,Front Royal,22630,Front Royal,22630,Yes under Community Eligibility Option (CEO),265,185,185
VA,A.W.E. Bassette Elementary,510180000725,Hampton City Public Schools,5101800,Hampton,23661,Hampton,23661,Yes under Community Eligibility Option (CEO),499,457,457
